First Name,Last Name,Identification Number,Date Of Birth,Address,Phone Number,Saving Account Number,Savings Starting Balance,Checking Account NUmber,Checking Starting Balance,Credit Account Number,Credit Starting Balance,Credit Max
Shere,Khan,26,8-Oct-56,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2025,1509.87,1025,1509.87,3025,1509.87,5854.0
Captaiin,Hook,27,20-Aug-73,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2026,1259.78,1026,1259.78,3026,1259.78,4134.0
Kaa,Disney,28,12-Jun-74,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2027,497.18,1027,497.18,3027,497.18,3330.0
Evil,Queen,29,9-Oct-69,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2028,1182.19,1028,1182.19,3028,1182.19,4063.0
Pinocchio,Disney,30,2-Jul-36,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2029,117.1,1029,117.1,3029,117.1,7790.0
Prince,Eric,31,10-Feb-13,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2030,854.15,1030,854.15,3030,854.15,6170.0
Quasimodo,Disney,32,8-Aug-67,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2031,1823.28,1031,1823.28,3031,1823.28,5648.0
Hercules,Disney,33,5-Jun-41,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2032,1907.12,1032,1907.12,3032,1907.12,3727.0
Mulan,Disney,34,21-Jan-65,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2033,1225.87,1033,1225.87,3033,1225.87,5715.0
Lilo,Disney,35,29-May-01,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2034,965.68,1034,965.68,3034,965.68,6744.0
Stitch,Disney,36,25-Oct-37,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2035,60.07,1035,60.07,3035,60.07,9669.0
Ali,Abed,37,8-Oct-34,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,2036,1494.66,1036,1494.66,3036,1494.66,3685.0
Kevin,Acosta,38,10-Jan-06,"500 W. University Ave, El Paso, TX 79968",(915) 747-5001,2037,674.2,1037,674.2,3037,674.2,8874.0
Antonio,Aguirre,39,29-Dec-28,"500 W. University Ave, El Paso, TX 79968",(915) 747-5002,2038,1102.03,1038,1102.03,3038,1102.03,7079.0
Madison,Anderson,40,3-Jun-33,"500 W. University Ave, El Paso, TX 79968",(915) 747-5003,2039,1871.94,1039,1871.94,3039,1871.94,7888.0
Kevin,Aofia,41,1-Apr-28,"500 W. University Ave, El Paso, TX 79968",(915) 747-5004,2040,1384.98,1040,1384.98,3040,1384.98,7283.0
Angel,Armendariz,42,4-Dec-70,"500 W. University Ave, El Paso, TX 79968",(915) 747-5005,2041,1236.21,1041,1236.21,3041,1236.21,9104.0
Nadia,Atiyeh,43,10-Mar-32,"500 W. University Ave, El Paso, TX 79968",(915) 747-5006,2042,454.39,1042,454.39,3042,454.39,8844.0
Nicole,Avila,44,28-Jun-72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5007,2043,1612.07,1043,1612.07,3043,1612.07,5760.0
Andrea,Carrera Pio,45,3-Aug-70,"500 W. University Ave, El Paso, TX 79968",(915) 747-5008,2044,1452.68,1044,1452.68,3044,1452.68,6578.0
Luis,Davila,46,5-Apr-62,"500 W. University Ave, El Paso, TX 79968",(915) 747-5009,2045,626.08,1045,626.08,3045,626.08,3995.0
Vincent,De La Torre,47,15-Feb-46,"500 W. University Ave, El Paso, TX 79968",(915) 747-5010,2046,1125.8,1046,1125.8,3046,1125.8,7616.0
Oswaldo,Escobedo,48,4-Nov-38,"500 W. University Ave, El Paso, TX 79968",(915) 747-5011,2047,1967.75,1047,1967.75,3047,1967.75,6238.0
Ivan,Espino,49,23-May-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5012,2048,1125.11,1048,1125.11,3048,1125.11,3367.0
Julio,Garcia,50,20-Apr-46,"500 W. University Ave, El Paso, TX 79968",(915) 747-5013,2049,609.26,1049,609.26,3049,609.26,4959.0
Mauricio,Garcia Tovar,51,21-May-75,"500 W. University Ave, El Paso, TX 79968",(915) 747-5014,2050,746.12,1050,746.12,3050,746.12,6149.0
Denise,Gomez,52,14-Nov-44,"500 W. University Ave, El Paso, TX 79968",(915) 747-5015,2051,999.53,1051,999.53,3051,999.53,5474.0
Paulie Jo,Gonzalez,53,17-Dec-42,"500 W. University Ave, El Paso, TX 79968",(915) 747-5016,2052,511.64,1052,511.64,3052,511.64,3425.0
Raul,Guerrero,54,2-Apr-11,"500 W. University Ave, El Paso, TX 79968",(915) 747-5017,2053,1141.1,1053,1141.1,3053,1141.1,3749.0
Matthew,Herrera,55,20-Apr-84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5018,2054,351.01,1054,351.01,3054,351.01,4529.0
Ethan,Kish,56,7-Sep-00,"500 W. University Ave, El Paso, TX 79968",(915) 747-5019,2055,1117.29,1055,1117.29,3055,1117.29,7599.0
Diana,Licon,57,19-Aug-10,"500 W. University Ave, El Paso, TX 79968",(915) 747-5020,2056,1140.14,1056,1140.14,3055,1140.14,9764.0
Dustyn,Loyda,58,18-Aug-35,"500 W. University Ave, El Paso, TX 79968",(915) 747-5021,2057,1345.88,1057,1345.88,3057,1345.88,5297.0
Mario,Macias,59,9-Jan-15,"500 W. University Ave, El Paso, TX 79968",(915) 747-5022,2058,1594.88,1058,1594.88,3058,1594.88,8755.0
Daniel,Moreno,60,16-Aug-67,"500 W. University Ave, El Paso, TX 79968",(915) 747-5023,2059,286.99,1059,286.99,3059,286.99,8395.0
Jacob,Moreno,61,21-Jun-38,"500 W. University Ave, El Paso, TX 79968",(915) 747-5024,2060,122.09,1060,122.09,3060,122.09,7058.0
Kevin,Moreno,62,19-Jun-95,"500 W. University Ave, El Paso, TX 79968",(915) 747-5025,2061,1720.98,1061,1720.98,3061,1720.98,9479.0
Leonardo,Munoz,63,31-Mar-90,"500 W. University Ave, El Paso, TX 79968",(915) 747-5026,2062,1122.97,1062,1122.97,3062,1122.97,5497.0
Francisco,Nolasco,64,5-Feb-44,"500 W. University Ave, El Paso, TX 79968",(915) 747-5027,2063,1909.57,1063,1909.57,3063,1909.57,5396.0
Roberto,Orozco,65,11-Sep-02,"500 W. University Ave, El Paso, TX 79968",(915) 747-5028,2064,733.01,1064,733.01,3064,733.01,5532.0
Elijah,Pele,66,1-May-28,"500 W. University Ave, El Paso, TX 79968",(915) 747-5029,2065,1267.41,1065,1267.41,3065,1267.41,3635.0
Omar,Perez,67,4-Mar-16,"500 W. University Ave, El Paso, TX 79968",(915) 747-5030,2066,1237.34,1066,1237.34,3066,1237.34,7857.0
Diego,Quinones Rodriguez,68,16-Jun-67,"500 W. University Ave, El Paso, TX 79968",(915) 747-5031,2067,1660.35,1067,1660.35,3067,1660.35,5363.0
Juan,Rabelo,69,8-Aug-85,"500 W. University Ave, El Paso, TX 79968",(915) 747-5032,2068,976.91,1068,976.91,3068,976.91,3159.0
Angel,Ramos,70,13-May-10,"500 W. University Ave, El Paso, TX 79968",(915) 747-5033,2069,921.9,1069,921.9,3069,921.9,3514.0
Efrain,Retana,71,11-Jul-33,"500 W. University Ave, El Paso, TX 79968",(915) 747-5034,2070,1748.01,1070,1748.01,3070,1748.01,4965.0
Hector,Richart Ruiz,72,21-Jun-47,"500 W. University Ave, El Paso, TX 79968",(915) 747-5035,2071,1960.66,1071,1960.66,3071,1960.66,4861.0
Andrew,Rodriguez,73,28-Aug-28,"500 W. University Ave, El Paso, TX 79968",(915) 747-5036,2072,1885.03,1072,1885.03,3072,1885.03,8168.0
Joel,Salas,74,16-Jan-01,"500 W. University Ave, El Paso, TX 79968",(915) 747-5037,2073,155.45,1073,155.45,3073,155.45,8666.0
David,Sanchez,75,18-Jan-04,"500 W. University Ave, El Paso, TX 79968",(915) 747-5038,2074,1927.01,1074,1927.01,3074,1927.01,8464.0
Jose,Sanchez Jr,76,29-Oct-52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5039,2075,446.02,1075,446.02,3075,446.02,3288.0
Madison,Schlosser,77,10-Sep-78,"500 W. University Ave, El Paso, TX 79968",(915) 747-5040,2076,539.39,1076,539.39,3076,539.39,8584.0
Dillon,Trinh,78,16-Apr-35,"500 W. University Ave, El Paso, TX 79968",(915) 747-5041,2077,1598.78,1077,1598.78,3077,1598.78,5127.0
Stephanie,Valdez,79,29-Mar-13,"500 W. University Ave, El Paso, TX 79968",(915) 747-5042,2078,865.78,1078,865.78,3078,865.78,9297.0
Nathan,Aun,80,30-Jan-40,"500 W. University Ave, El Paso, TX 79968",(915) 747-5043,2079,1056.89,1079,1056.89,3079,1056.89,9385.0
Khandoker,Rahad,81,21-Apr-04,"500 W. University Ave, El Paso, TX 79968",(915) 747-5044,2080,1476.49,1080,1476.49,3080,1476.49,3989.0
Daniel,Mejia,82,21-Nov-61,"500 W. University Ave, El Paso, TX 79968",(915) 747-5045,2081,1896.71,1081,1896.71,3081,1896.71,9463.0
Daniel,A,83,12-Dec-06,"500 W. University Ave, El Paso, TX 79968",(915) 747-5046,2082,556.34,1082,556.34,3082,556.34,3255.0
Daniel,B,84,20-Jun-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5047,2083,882.94,1083,882.94,3083,882.94,4086.0
Daniel,C,85,2-Aug-34,"500 W. University Ave, El Paso, TX 79968",(915) 747-5048,2084,1333.52,1084,1333.52,3084,1333.52,8506.0
Daniel,D,86,10-May-65,"500 W. University Ave, El Paso, TX 79968",(915) 747-5049,2085,1185.21,1085,1185.21,3085,1185.21,9474.0
Daniel,E,87,27-Nov-57,"500 W. University Ave, El Paso, TX 79968",(915) 747-5050,2086,295.75,1086,295.75,3086,295.75,6472.0
Daniel,F,88,3-Aug-52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5051,2087,784.66,1087,784.66,3087,784.66,8680.0
Daniel,G,89,22-Jul-87,"500 W. University Ave, El Paso, TX 79968",(915) 747-5052,2088,1506.23,1088,1506.23,3088,1506.23,8589.0
Daniel,H,90,23-Oct-88,"500 W. University Ave, El Paso, TX 79968",(915) 747-5053,2089,980.56,1089,980.56,3089,980.56,9345.0
Daniel,I,91,11-Feb-32,"500 W. University Ave, El Paso, TX 79968",(915) 747-5054,2090,1428.56,1090,1428.56,3090,1428.56,4226.0
Daniel,J,92,18-Dec-04,"500 W. University Ave, El Paso, TX 79968",(915) 747-5055,2091,1044.65,1091,1044.65,3091,1044.65,5023.0
Daniel,K,93,12-Mar-92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5056,2092,1875.64,1092,1875.64,3092,1875.64,9353.0
Daniel,L,94,7-Apr-93,"500 W. University Ave, El Paso, TX 79968",(915) 747-5057,2093,225.74,1093,225.74,3093,225.74,9642.0
Daniel,N,95,16-Mar-59,"500 W. University Ave, El Paso, TX 79968",(915) 747-5058,2094,1192.62,1094,1192.62,3094,1192.62,6214.0
Daniel,O,96,30-Aug-13,"500 W. University Ave, El Paso, TX 79968",(915) 747-5059,2095,1684.52,1095,1684.52,3095,1684.52,4790.0
Daniel,P,97,1-Feb-95,"500 W. University Ave, El Paso, TX 79968",(915) 747-5060,2096,1330.08,1096,1330.08,3096,1330.08,7198.0
Daniel,Q,98,16-Aug-35,"500 W. University Ave, El Paso, TX 79968",(915) 747-5061,2097,36.27,1097,36.27,3097,36.27,3706.0
Daniel,R,99,9-Mar-66,"500 W. University Ave, El Paso, TX 79968",(915) 747-5062,2098,542.49,1098,542.49,3098,542.49,4789.0
Daniel,S,100,26-Sep-83,"500 W. University Ave, El Paso, TX 79968",(915) 747-5063,2099,1517.45,1099,1517.45,3099,1517.45,7622.0
Daniel,T,101,19-Nov-69,"500 W. University Ave, El Paso, TX 79968",(915) 747-5064,2100,1303.56,1100,1303.56,3100,1303.56,6043.0
Daniel,U,102,16-Oct-45,"500 W. University Ave, El Paso, TX 79968",(915) 747-5065,2101,310.9,1101,310.9,3101,310.9,8646.0
Daniel,V,103,23-Feb-87,"500 W. University Ave, El Paso, TX 79968",(915) 747-5066,2102,1740.83,1102,1740.83,3102,1740.83,3442.0
Daniel,W,104,27-Aug-77,"501 W. University Ave, El Paso, TX 79968",(915) 747-5067,2103,1525.05,1103,1525.05,3103,1525.05,8939.0
Daniel,X,105,29-Jun-63,"502 W. University Ave, El Paso, TX 79968",(915) 747-5068,2104,1366.53,1104,1366.53,3104,1366.53,5429.0
Daniel,Y,106,11-Dec-54,"503 W. University Ave, El Paso, TX 79968",(915) 747-5069,2105,1681.08,1105,1681.08,3105,1681.08,9411.0
Daniel,Z,107,8-Jul-72,"504 W. University Ave, El Paso, TX 79968",(915) 747-5070,2106,512.74,1106,512.74,3106,512.74,3010.0
Robin,s,108,123,1234,9152,2107,0.0,1107,0.0
